metric_item_label,metric_cat_label,metric_subcat_label,metric_item_label_subtitle,metric_cat_item_yaxis_label,metric_source_desc_label_fn,metric_source_desc_label_url_fn,geo_label_city,geo_label_state,geo_label_citystate,geo_fips_code,value,date_label,geo_label_proxy_or_real,geo_label_proxy_footnote,geo_fips_desc,date_label_proxy_or_real,date_label_proxy_footnote,value_ci_flag_yesno,value_95_ci_low,value_95_ci_high,value_90_ci_low,value_90_ci_high,geo_strata_region,geo_strata_poverty,geo_strata_Population,geo_strata_PopDensity,geo_strata_Segregation,strata_race_label,strata_sex_label,strata_race_sex_label
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Seattle,WA,"Seattle, WA",5363000,4869.515772,2018,real,,place,real,,yes,4558.68894,5180.342603,,,West,Less poor cities (<20% poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),White,Male,White Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Philadelphia,PA,"Philadelphia, PA",4260000,5924.315966,2019,real,,place,real,,yes,5600.953242,6247.678691,,,Northeast,Poorest cities (20%+ poor),Largest (>1.3 million),Highest pop. density (>10k per sq mi),Highly Segregated (50%+),White,Female,White Female
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Fort Worth,TX,"Fort Worth, TX",4827000,11998.3566,2014,real,,place,real,,yes,11151.53048,12845.18272,,,South,Less poor cities (<20% poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),Black,Male,Black Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Denver,CO,"Denver, CO",0820000,3142.468333,2017,real,,place,real,,yes,2380.004541,3904.932125,,,West,Less poor cities (<20% poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),Asian/PI,Both,
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Austin,TX,"Austin, TX",4805000,6004.098064,2010,real,,place,real,,yes,5484.413738,6523.782391,,,South,Less poor cities (<20% poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),Hispanic,Male,Hispanic Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Los Angeles,CA,"Los Angeles, CA",0644000,8503.357389,2012,real,,place,real,,yes,8003.528669,9003.186109,,,West,Less poor cities (<20% poor),Largest (>1.3 million),Lower pop. density (<10k per sq mi),Highly Segregated (50%+),Black,Female,Black Female
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Philadelphia,PA,"Philadelphia, PA",4260000,10847.77662,2017,real,,place,real,,yes,10207.67919,11487.87405,,,Northeast,Poorest cities (20%+ poor),Largest (>1.3 million),Highest pop. density (>10k per sq mi),Highly Segregated (50%+),Hispanic,Male,Hispanic Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Columbus,OH,"Columbus, OH",3918000,2860.327772,2013,real,,place,real,,yes,2065.181957,3655.473587,,,Midwest,Less poor cities (<20% poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),Asian/PI,Male,Asian/PI Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Columbus,OH,"Columbus, OH",3918000,7104.932469,2015,real,,place,real,,yes,6601.933166,7607.931772,,,Midwest,Less poor cities (<20% poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),Black,Female,Black Female
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,New York City,NY,"New York City, NY",3651000,4487.32903,2020,real,,place,real,,yes,4261.963043,4712.695017,,,Northeast,Less poor cities (<20% poor),Largest (>1.3 million),Highest pop. density (>10k per sq mi),Highly Segregated (50%+),Asian/PI,Male,Asian/PI Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Oklahoma City,OK,"Oklahoma City, OK",4055000,3498.475101,2016,real,,place,real,,yes,2604.22084,4392.729361,,,South,Less poor cities (<20% poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),Asian/PI,Both,
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Denver,CO,"Denver, CO",0820000,7882.880822,2010,real,,place,real,,yes,7312.859225,8452.902419,,,West,Less poor cities (<20% poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),White,Male,White Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Tucson,AZ,"Tucson, AZ",0477000,8048.784967,2017,real,,place,real,,yes,7452.601015,8644.96892,,,West,Poorest cities (20%+ poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),White,Female,White Female
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,San Diego,CA,"San Diego, CA",0666000,5433.049853,2017,real,,place,real,,yes,5159.38889,5706.710817,,,West,Less poor cities (<20% poor),Largest (>1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),White,Male,White Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,El Paso,TX,"El Paso, TX",4824000,6476.685953,2018,real,,place,real,,yes,5565.187004,7388.184902,,,South,Less poor cities (<20% poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),White,Female,White Female
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Portland,OR,"Portland, OR",4159000,8102.395627,2020,real,,place,real,,yes,7614.833562,8589.957691,,,West,Less poor cities (<20% poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),White,Male,White Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Phoenix,AZ,"Phoenix, AZ",0455000,3429.370805,2017,real,,place,real,,yes,2872.345611,3986.395999,,,West,Less poor cities (<20% poor),Largest (>1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),Asian/PI,Both,
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Long Beach,CA,"Long Beach, CA",0643000,12901.95851,2013,real,,place,real,,yes,11579.58552,14224.33149,,,West,Less poor cities (<20% poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Highly Segregated (50%+),Black,Male,Black Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Charlotte,NC,"Charlotte, NC",3712000,3233.436108,2020,real,,place,real,,yes,2852.842427,3614.029788,,,South,Less poor cities (<20% poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),White,Female,White Female
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Cleveland,OH,"Cleveland, OH",3916000,19279.20293,2016,real,,place,real,,yes,18246.70706,20311.6988,,,Midwest,Poorest cities (20%+ poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Highly Segregated (50%+),Black,Male,Black Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Cleveland,OH,"Cleveland, OH",3916000,8945.993546,2016,real,,place,real,,yes,7580.798521,10311.18857,,,Midwest,Poorest cities (20%+ poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Highly Segregated (50%+),Hispanic,Male,Hispanic Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Las Vegas,NV,"Las Vegas, NV",3240000,15244.25649,2019,proxy,County level data were used,place,real,,yes,14530.96882,15957.54417,,,West,Less poor cities (<20% poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),Black,Male,Black Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Denver,CO,"Denver, CO",0820000,8112.164035,2011,real,,place,real,,yes,6984.766769,9239.561301,,,West,Less poor cities (<20% poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),Black,Female,Black Female
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Kansas City,MO,"Kansas City, MO",2938000,6597.421299,2012,real,,place,real,,yes,5446.721642,7748.120956,,,Midwest,Less poor cities (<20% poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),Hispanic,Male,Hispanic Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Indianapolis,IN,"Indianapolis, IN",1836003,5275.547752,2014,real,,place,real,,yes,4522.699855,6028.39565,,,Midwest,Less poor cities (<20% poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),Hispanic,Male,Hispanic Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Milwaukee,WI,"Milwaukee, WI",5553000,6479.506232,2015,real,,place,real,,yes,5770.480649,7188.531815,,,Midwest,Poorest cities (20%+ poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Highly Segregated (50%+),Hispanic,Male,Hispanic Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Louisville,KY,"Louisville, KY",2148006,7952.82109,2012,proxy,County level data were used,place,real,,yes,7302.396638,8603.245542,,,South,Less poor cities (<20% poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),Black,Female,Black Female
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Boston,MA,"Boston, MA",2507000,6952.314929,2019,real,,place,real,,yes,6272.289557,7632.340302,,,Northeast,Less poor cities (<20% poor),Smaller (<1.3 million),Highest pop. density (>10k per sq mi),Less Segregated (<50%),Hispanic,Male,Hispanic Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Milwaukee,WI,"Milwaukee, WI",5553000,9049.245991,2013,real,,place,real,,yes,8494.737057,9603.754924,,,Midwest,Poorest cities (20%+ poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Highly Segregated (50%+),Black,Female,Black Female
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Houston,TX,"Houston, TX",4835000,5345.644395,2011,real,,place,real,,yes,4741.192431,5950.096359,,,South,Less poor cities (<20% poor),Largest (>1.3 million),Lower pop. density (<10k per sq mi),Highly Segregated (50%+),Asian/PI,Male,Asian/PI Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Chicago,IL,"Chicago, IL",1714000,4095.044304,2015,real,,place,real,,yes,3582.301782,4607.786826,,,Midwest,Less poor cities (<20% poor),Largest (>1.3 million),Highest pop. density (>10k per sq mi),Highly Segregated (50%+),Asian/PI,Male,Asian/PI Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,San Diego,CA,"San Diego, CA",0666000,3890.17843,2017,real,,place,real,,yes,3479.681011,4300.675849,,,West,Less poor cities (<20% poor),Largest (>1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),Asian/PI,Male,Asian/PI Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Dallas,TX,"Dallas, TX",4819000,5992.7219,2018,real,,place,real,,yes,4733.266065,7252.177736,,,South,Less poor cities (<20% poor),Largest (>1.3 million),Lower pop. density (<10k per sq mi),Highly Segregated (50%+),Asian/PI,Male,Asian/PI Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Minneapolis,MN,"Minneapolis, MN",2743000,8350.241741,2016,real,,place,real,,yes,7353.627199,9346.856283,,,Midwest,Less poor cities (<20% poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),Black,Female,Black Female
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Philadelphia,PA,"Philadelphia, PA",4260000,2330.616597,2018,real,,place,real,,yes,1850.260553,2810.97264,,,Northeast,Poorest cities (20%+ poor),Largest (>1.3 million),Highest pop. density (>10k per sq mi),Highly Segregated (50%+),Asian/PI,Female,Asian/PI Female
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Portland,OR,"Portland, OR",4159000,7992.01243,2013,real,,place,real,,yes,7595.09432,8388.93054,,,West,Less poor cities (<20% poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),White,Male,White Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Boston,MA,"Boston, MA",2507000,1474.132806,2020,real,,place,real,,yes,1009.123159,1939.142453,,,Northeast,Less poor cities (<20% poor),Smaller (<1.3 million),Highest pop. density (>10k per sq mi),Less Segregated (<50%),Asian/PI,Female,Asian/PI Female
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Portland,OR,"Portland, OR",4159000,4230.083247,2016,real,,place,real,,yes,3933.039424,4527.127071,,,West,Less poor cities (<20% poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),White,Female,White Female
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Los Angeles,CA,"Los Angeles, CA",0644000,5609.601516,2011,real,,place,real,,yes,5395.629111,5823.573921,,,West,Less poor cities (<20% poor),Largest (>1.3 million),Lower pop. density (<10k per sq mi),Highly Segregated (50%+),White,Male,White Male
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Louisville,KY,"Louisville, KY",2148006,8121.24739,2017,proxy,County level data were used,place,real,,yes,7477.431535,8765.063245,,,South,Less poor cities (<20% poor),Smaller (<1.3 million),Lower pop. density (<10k per sq mi),Less Segregated (<50%),Black,Female,Black Female
Premature Death,Life Expectancy and Deaths,Deaths,"Years of potential life lost before age 75 (per 100,000 population, age-adjusted)","Years per 100,000 population aged <75","National Vital Statistics System (NVSS), Centers for Disease Control and Prevention",https://www.cdc.gov/nchs/nvss/index.htm,Houston,TX,"Houston, TX",4835000,9258.213127,2012,real,,place,real,,yes,8847.323512,9669.102742,,,South,Less poor cities (<20% poor),Largest (>1.3 million),Lower pop. density (<10k per sq mi),Highly Segregated (50%+),White,Male,White Male
